Issue,reason,
https://github.com/eclipse-openj9/openj9/issues/5725,question,
https://github.com/eclipse-openj9/openj9/issues/3969,bug,
https://github.com/eclipse-openj9/openj9/issues/4737,test failure,
https://github.com/eclipse-openj9/openj9/issues/16388,test failure,
https://github.com/eclipse-openj9/openj9/issues/14796,memory error,
https://github.com/eclipse-openj9/openj9/issues/11218,test failure,
https://github.com/eclipse-openj9/openj9/issues/428,enhancement,
https://github.com/eclipse-openj9/openj9/issues/4426,test failure,
https://github.com/eclipse-openj9/openj9/issues/16396,build issue,
https://github.com/eclipse-openj9/openj9/issues/15575,test failure,
https://github.com/eclipse-openj9/openj9/issues/14841,test failure,
https://github.com/eclipse-openj9/openj9/issues/13062,test failure,
https://github.com/eclipse-openj9/openj9/issues/10632,test failure,
https://github.com/eclipse-openj9/openj9/issues/9754,test failure,
https://github.com/eclipse-openj9/openj9/issues/67,enhancement,
https://github.com/eclipse-openj9/openj9/issues/9040,test failure,
https://github.com/eclipse-openj9/openj9/issues/11583,question,
https://github.com/eclipse-openj9/openj9/issues/13154,test failure,
https://github.com/eclipse-openj9/openj9/issues/13295,enhancement,
https://github.com/eclipse-openj9/openj9/issues/6325,enhancement,
https://github.com/eclipse-openj9/openj9/issues/277,runtime error,
https://github.com/eclipse-openj9/openj9/issues/3690,test failure,
https://github.com/eclipse-openj9/openj9/issues/4964,test failure,
https://github.com/eclipse-openj9/openj9/issues/2372,enhancement,
https://github.com/eclipse-openj9/openj9/issues/87,build issue,
https://github.com/eclipse-openj9/openj9/issues/1355,test failure,
https://github.com/eclipse-openj9/openj9/issues/6468,test failure,
https://github.com/eclipse-openj9/openj9/issues/12177,test failure,
https://github.com/eclipse-openj9/openj9/issues/11791,enhancement,
https://github.com/eclipse-openj9/openj9/issues/3804,enhancement,
https://github.com/eclipse-openj9/openj9/issues/7409,test failure,
https://github.com/eclipse-openj9/openj9/issues/8788,test failure,
https://github.com/eclipse-openj9/openj9/issues/1503,enhancement,
https://github.com/eclipse-openj9/openj9/issues/12481,test failure,
https://github.com/eclipse-openj9/openj9/issues/9323,test failure,
https://github.com/oracle/graal/issues/648,runtime error,
https://github.com/oracle/graal/issues/656,runtime error,
https://github.com/oracle/graal/issues/1029,runtime error,
https://github.com/oracle/graal/issues/1855,test failure,
https://github.com/oracle/graal/issues/3842,question,
https://github.com/oracle/graal/issues/4033,documentation,
https://github.com/oracle/graal/issues/4036,test failure,
https://github.com/oracle/graal/issues/2825,enhancement,
https://github.com/oracle/graal/issues/3351,runtime error,
https://github.com/oracle/graal/issues/3372,test failure,
https://github.com/oracle/graal/issues/1164,enhancement,
https://github.com/oracle/graal/issues/565,performance issue,
https://github.com/oracle/graal/issues/4921,enhancement,
https://github.com/oracle/graal/issues/5427,question,
https://github.com/oracle/graal/issues/2036,enhancement,
https://github.com/oracle/graal/issues/3392,runtime error,
https://github.com/oracle/graal/issues/661,runtime error,
https://github.com/oracle/graal/issues/4413,build issue,
https://github.com/oracle/graal/issues/2117,build issue,
https://github.com/oracle/graal/issues/1263,enhancement,
https://github.com/oracle/graal/issues/6122,build issue,
https://github.com/oracle/graal/issues/376,runtime error,
https://github.com/oracle/graal/issues/4189,build issue,
https://github.com/ikvm-revived/ikvm/issues/77,enhancement,
https://github.com/mono/mono/issues/6719,performance issue,
https://github.com/mono/mono/issues/19733,build issue,
https://github.com/mono/mono/issues/16893,other,
https://github.com/mono/mono/issues/11395,enhancement,
